node_id,label,domain,color,weight_importance,Z_ETHICS,Z_MMLU,Z_GPQA_PhD,Z_RedTeaming
0,atical + Marino,MMLU,#3498db,9.419483184814453,0.0,9.929689922050665,0.0,1.1915287319181427
1,AAP + ABCDEFG,MMLU,#3498db,8.265471458435059,0.0,4.878475655721609,0.0,2.8558259300950612
2,方式进行 + Franken,MMLU,#3498db,7.999197959899902,0.0,11.986177303531859,0.0,10.698792150045348
3,bergen + modo,MMLU,#3498db,7.911434173583984,0.0,5.901976236052666,0.0,3.4465689478043093
4,和技术 + rang,MMLU,#3498db,7.742247581481934,0.0,5.649823758278342,0.0,4.4793313866780595
5,tru + 特有的,RedTeaming,#34495e,7.609217166900635,0.0,2.4898292614762743,0.0,3.6885119764489276
6,以及其他 + Jonas,RedTeaming,#34495e,7.566461086273193,0.0,2.3078610409320994,0.0,3.079597521836876
7,sti + 经验值,MMLU,#3498db,7.50709342956543,0.0,3.084520625970851,0.0,2.93888310885976
8,尤其是 + 及相关,MMLU,#3498db,7.41815710067749,0.0,2.1925941184494144,0.0,1.8585673799563758
9,erton + Patt,MMLU,#3498db,7.343108654022217,0.0,1.561689565833871,0.0,1.3012695895258184
10,告诉她 + LObject,MMLU,#3498db,7.265695571899414,0.0,4.0237745933269204,0.0,2.082356130606953
11,herein + 的区别,RedTeaming,#34495e,7.228084087371826,0.0,0.9553752581450288,0.0,1.7829309695688704
12,erc + kok,MMLU,#3498db,7.2024078369140625,0.0,7.565340444326912,0.0,4.684566618774724
13,rief + 劳务派遣,RedTeaming,#34495e,7.1485772132873535,0.0,0.8849046245730466,0.0,1.7150314150386763
14,Hugh + dumps,MMLU,#3498db,7.137182712554932,0.0,2.0275279011206564,0.0,0.6109010262948573
15,十四五 + byn,MMLU,#3498db,7.105612277984619,0.0,3.956312697028008,0.0,1.299210076629739
16,idot + olia,MMLU,#3498db,7.028198719024658,0.0,2.743994121977842,0.0,1.5230868207425847
17,tery + olest,MMLU,#3498db,7.007899284362793,0.0,1.0136913516793284,0.0,0.6453974337131072
18,orra + aten,RedTeaming,#34495e,6.998561859130859,0.0,7.532199455942395,0.0,8.21298431223071
19,eed + ven,MMLU,#3498db,6.966989994049072,0.0,1.734399842239584,0.0,1.7012460661435367
20,todd + AGER,RedTeaming,#34495e,6.941858768463135,0.0,2.159173677206504,0.0,2.1698947069879013
21,endants + 站起来,MMLU,#3498db,6.908360958099365,0.0,0.8772397952860543,0.0,0.587170698904029
22,MSN + InitStruct,RedTeaming,#34495e,6.885135173797607,0.0,1.259885250730397,0.0,2.0516145940180226
23,店加盟 + asin,MMLU,#3498db,6.851311206817627,0.0,2.6071369252796215,0.0,1.1697772471008958
