id,label,color
0,alen + ovo,#2ecc71
1,anna + ilis,#2ecc71
2,(! + (!,#9b59b6
3,annel + Edition,#3498db
4,ebenfalls + cio,#3498db
5,Tay + Flow,#3498db
6,arte + jes,#3498db
7,sap + ulp,#9b59b6
8,aze + RM,#9b59b6
9,PRESS + reb,#3498db
10,iverse + MAGES,#2ecc71
11,ritz + igu,#3498db
12,CU + BAS,#9b59b6
13,LET + PRIV,#3498db
14,INFO + calc,#2ecc71
15,alis + sv,#3498db
16,ipa + dummy,#e74c3c
17,zin + rat,#2ecc71
18,cted + mao,#e74c3c
19,Than + alone,#e74c3c
20,uno + iani,#2ecc71
21,wer + ania,#2ecc71
22,overall + equivalent,#9b59b6
23,bias + ichen,#9b59b6
24,Wo + Ce,#2ecc71
25,zw + imeq,#9b59b6
26,Built + Shared,#9b59b6
27,Rou + déjà,#3498db
28,ikel + pson,#2ecc71
29,wur + Liver,#3498db
30,previous + zed,#2ecc71
31,spare + hr,#9b59b6
32,plus + plus,#2ecc71
33,qq + zek,#9b59b6
34,Liv + heit,#3498db
35,lers + itel,#3498db
36,Ira + ieb,#3498db
37,asp + wand,#e74c3c
38,Johann + gang,#9b59b6
39,olan + olin,#9b59b6
40,>@ + *:,#e74c3c
41,Zag + Dum,#9b59b6
42,ares + SI,#3498db
43,Feder + ew,#e74c3c
44,nar + anje,#3498db
45,ral + atti,#9b59b6
46,itself + invol,#3498db
47,contrast + Lam,#2ecc71
48,iero + agn,#3498db
49,Arn + Kh,#9b59b6
50,(! + ёр,#2ecc71
51,Quarter + Ast,#e74c3c
52,ersion + ск,#9b59b6
53,WIN + ITS,#e74c3c
54,Nah + eternal,#e74c3c
55,fram + Ek,#e74c3c
56,iska + rei,#2ecc71
57,zin + ipper,#3498db
58,GIN + Vic,#e74c3c
59,DED + BD,#2ecc71
60,intel + ku,#3498db
61,ёр + öt,#9b59b6
62,abul + ategory,#e74c3c
63,ijn + itten,#e74c3c
64,дь + itan,#e74c3c
65,asi + independ,#9b59b6
66,Linked + heim,#e74c3c
67,/******/ + Unexpected,#9b59b6
68,%%%% + fam,#e74c3c
69,uld + alen,#9b59b6
70,idad + prost,#e74c3c
71,tal + usually,#2ecc71
72,Mong + Kore,#9b59b6
73,ouch + lit,#9b59b6
74,apest + ako,#9b59b6
75,opf + blame,#9b59b6
76,vm + oute,#e74c3c
77,bee + Bahn,#9b59b6
78,Fue + corner,#3498db
79,PCM + ideo,#e74c3c
80,etti + oz,#3498db
81,barely + icz,#e74c3c
82,umes + inher,#9b59b6
83,omi + tomorrow,#e74c3c
84,aben + loop,#9b59b6
85,lass + WIT,#2ecc71
86,arde + gra,#e74c3c
87,istrzost + ян,#9b59b6
88,ients + proport,#3498db
89,esser + Intent,#e74c3c
90,Ster + ugno,#e74c3c
91,lish + medium,#e74c3c
92,akte + alls,#e74c3c
93,CTL + airs,#2ecc71
94,(! + (!,#2ecc71
95,rost + Exec,#9b59b6
96,fen + akespe,#e74c3c
97,zel + ialis,#3498db
98,pul + prot,#e74c3c
99,ilon + fet,#e74c3c
100,unfinished + PRINT,#2ecc71
101,placeholder + pit,#2ecc71
102,iente + ittel,#e74c3c
103,enta + ENC,#2ecc71
104,Apparently + Sta,#e74c3c
105,aris + odes,#9b59b6
106,rons + arget,#3498db
107,ulle + це,#9b59b6
108,omet + Nad,#9b59b6
109,fragments + transm,#2ecc71
110,arius + ril,#e74c3c
111,jed + othe,#3498db
112,egy + Chain,#3498db
113,ussy + iri,#2ecc71
114,rase + esian,#e74c3c
115,/******/ + tit,#9b59b6
116,nod + SIG,#3498db
117,erre + opp,#9b59b6
118,amo + indo,#e74c3c
119,aza + cal,#3498db
120,ahoma + colours,#2ecc71
121,irat + ki,#9b59b6
122,FM + atte,#e74c3c
123,lock + endor,#e74c3c
124,unden + mul,#3498db
125,assemb + ki,#9b59b6
126,alo + courtesy,#e74c3c
127,acker + uar,#e74c3c
128,Intent + gel,#e74c3c
129,Herm + lord,#e74c3c
130,legit + ago,#e74c3c
131,cke + conven,#e74c3c
132,emu + Buc,#e74c3c
133,omin + UNK,#9b59b6
134,Nether + Judge,#9b59b6
135,Churchill + Аль,#9b59b6
136,CHANT + mx,#9b59b6
137,lear + scal,#3498db
138,iens + ready,#9b59b6
139,amo + circle,#e74c3c
140,Intent + AT,#2ecc71
141,oshi + öd,#e74c3c
142,orem + rei,#e74c3c
143,Bou + ez,#e74c3c
144,lica + auté,#3498db
145,iffe + onne,#e74c3c
146,holm + unted,#e74c3c
147,avi + pus,#2ecc71
148,lle + SRC,#e74c3c
149,bie + pip,#2ecc71
150,emi + consistently,#e74c3c
151,ople + hl,#9b59b6
152,--> + Bew,#e74c3c
153,unlock + Unlock,#e74c3c
154,Gol + IME,#3498db
155,olt + onto,#9b59b6
156,Received + except,#2ecc71
157,rez + RX,#9b59b6
158,слу + okrat,#e74c3c
159,Peg + orial,#3498db
160,ölker + orage,#e74c3c
161,vik + jos,#3498db
162,rogen + oki,#e74c3c
163,nan + indirect,#e74c3c
164,DIP + onen,#9b59b6
165,hour + acht,#9b59b6
166,nog + ät,#e74c3c
167,eras + iera,#e74c3c
168,ijo + unn,#e74c3c
169,[< + uar,#9b59b6
170,esso + хі,#e74c3c
171,nob + amin,#3498db
172,rog + Palmar,#2ecc71
173,Knight + quin,#e74c3c
174,separate + ettes,#9b59b6
175,nik + compass,#e74c3c
176,iar + pin,#e74c3c
177,Hug + suite,#e74c3c
178,PK + Release,#3498db
179,руд + Conf,#e74c3c
180,éral + orters,#e74c3c
181,PC + azure,#3498db
182,embar + лове,#2ecc71
183,apos + ahn,#9b59b6
184,argin + lage,#e74c3c
185,stops + trap,#e74c3c
186,mong + lean,#e74c3c
187,FORM + LIED,#3498db
188,cou + pret,#9b59b6
189,rei + odge,#e74c3c
190,anymore + nek,#e74c3c
191,sept + Luxem,#3498db
192,/******/ + Bishop,#e74c3c
193,aten + fee,#e74c3c
194,airs + atta,#e74c3c
195,/******/ + Filip,#e74c3c
196,olut + Absolute,#e74c3c
197,pix + uni,#e74c3c
198,isson + Fel,#e74c3c
199,gan + ovo,#e74c3c
200,ega + wich,#e74c3c
201,ogan + aude,#e74c3c
202,kap + othe,#e74c3c
203,elm + Guerra,#2ecc71
204,assen + DM,#9b59b6
205,/******/ + orsch,#e74c3c
206,courtesy + cen,#e74c3c
207,bras + PARTICULAR,#e74c3c
208,?; + sted,#9b59b6
209,aban + DAG,#e74c3c
210,ilon + Crown,#2ecc71
211,PK + FT,#e74c3c
212,тра + ...</,#e74c3c
213,/******/ + Capture,#e74c3c
214,Bev + Fra,#e74c3c
215,ORM + abul,#e74c3c
216,trusted + ani,#e74c3c
217,ugh + Bus,#e74c3c
218,adel + FIL,#e74c3c
219,Builder + anc,#9b59b6
220,CLO + GF,#e74c3c
221,upt + umper,#3498db
222,eping + stadt,#9b59b6
223,axy + nod,#e74c3c
224,cope + ido,#e74c3c
225,posit + msm,#e74c3c
226,<s> + Arm,#e74c3c
227,oya + pha,#e74c3c
228,INE + uren,#2ecc71
229,otti + dk,#2ecc71
230,oft + aki,#e74c3c
231,aug + ald,#e74c3c
232,pkt + ouw,#9b59b6
233,jd + mal,#e74c3c
234,Ro + DAT,#9b59b6
235,gel + athol,#e74c3c
236,Visibility + oen,#3498db
237,DAI + Dise,#e74c3c
238,ikan + rok,#e74c3c
239,Matrix + usted,#e74c3c
240,Lew + awt,#e74c3c
241,Gaz + ueto,#e74c3c
242,ardon + shar,#e74c3c
243,imen + contr,#e74c3c
244,tm + nh,#9b59b6
245,isz + amily,#3498db
246,uw + thon,#e74c3c
247,REQ + nder,#e74c3c
248,ito + TD,#3498db
249,................ + ----------------,#e74c3c
